pk_interaction,fk_client,fk_produit,fk_canal,fk_type_transaction,fk_gestionnaire,fk_compte,fk_statut,fk_date,montant_transaction,frais_transaction,solde,nombre_operations,date_interaction
19676,9310850367,3,2,12,20048,74444286337,1,2024-10-03,80289,807,466797,1,2024-10-03
19677,9310850367,10,1,10,20048,74444286337,1,2025-01-07,0,0,466797,1,2025-01-07
19678,9310850367,10,1,11,20048,72686959023,1,2026-03-27,0,0,366311,1,2026-03-27
19679,9310850367,14,1,9,20048,72686959023,2,2025-10-17,309767,3928,366311,1,2025-10-17
19680,9310850367,8,1,2,20048,72686959023,1,2025-07-22,384363,6736,366311,1,2025-07-22
19681,9310850367,25,2,13,20048,74444286337,1,2026-09-20,26053,503,466797,1,2026-09-20
19682,9310850367,21,1,11,20048,72686959023,1,2025-06-21,0,0,366311,1,2025-06-21
19683,9310850367,6,1,2,20048,72686959023,2,2026-07-18,820260,7241,366311,1,2026-07-18
19684,9310850367,12,1,10,20048,72686959023,1,2025-05-15,0,0,366311,1,2025-05-15
19685,9310850367,16,1,1,20048,72686959023,1,2026-08-10,1940712,2,366311,1,2026-08-10
19686,9310850367,17,1,5,20048,74444286337,1,2024-01-06,268159,826,466797,1,2024-01-06
19687,9310850367,1,1,1,20048,72686959023,1,2026-09-21,217626,4308,366311,3,2026-09-21
19688,9310850367,9,1,2,20048,72686959023,1,2024-06-11,339015,422,366311,1,2024-06-11
19689,9310850367,21,1,10,20048,74444286337,1,2026-09-08,0,0,466797,1,2026-09-08
19690,9310850367,13,2,1,20048,74444286337,1,2025-08-12,478012,848,466797,1,2025-08-12
19691,9310850367,21,1,11,20048,72686959023,1,2026-09-09,0,0,366311,1,2026-09-09
19692,9310850367,29,2,12,20048,74444286337,1,2024-02-27,75608,529,466797,1,2024-02-27
19693,9310850367,12,1,3,20048,72686959023,1,2025-11-18,76017,1370,366311,1,2025-11-18
19694,9310850367,30,1,3,20048,74444286337,1,2024-05-20,1734461,28359,466797,1,2024-05-20
19695,9310850367,3,1,4,20048,72686959023,1,2026-07-14,4716581,6166,366311,1,2026-07-14
19696,9310850367,25,2,13,20048,74444286337,4,2024-04-30,1750207,19220,466797,1,2024-04-30
19697,9310850367,20,1,3,20048,72686959023,1,2024-12-16,2500835,20641,366311,1,2024-12-16
19698,9310850367,26,2,13,20048,72686959023,1,2025-01-04,838965,5681,366311,1,2025-01-04
19699,9310850367,7,1,10,20048,74444286337,1,2024-08-22,0,0,466797,1,2024-08-22
19700,9310850367,25,2,12,20048,74444286337,2,2024-06-13,64197,507,466797,1,2024-06-13
19701,9310850367,32,1,9,20048,72686959023,1,2025-05-22,108663,12,366311,1,2025-05-22
19702,9310850367,23,1,10,20048,74444286337,1,2026-07-25,0,0,466797,1,2026-07-25
19703,9310850367,14,2,8,20048,74444286337,1,2025-06-13,140916,539,466797,1,2025-06-13
19704,9310850367,12,1,10,20048,72686959023,1,2026-03-16,0,0,366311,1,2026-03-16
19705,9310850367,13,1,9,20048,74444286337,1,2025-01-02,995542,16159,466797,1,2025-01-02
19706,9310850367,24,1,12,20048,74444286337,1,2025-04-12,97792,1578,466797,1,2025-04-12
19707,9310850367,24,2,12,20048,74444286337,1,2024-05-04,98081,1458,466797,1,2024-05-04
19708,9310850367,10,1,11,20048,74444286337,1,2026-06-04,0,0,466797,1,2026-06-04
19709,9310850367,16,1,2,20048,74444286337,1,2025-05-13,977221,18206,466797,1,2025-05-13
19710,9310850367,17,1,3,20048,74444286337,1,2025-09-04,2199775,24320,466797,1,2025-09-04
19711,9310850367,30,2,8,20048,72686959023,1,2024-08-09,476423,4870,366311,1,2024-08-09
19712,9310850367,8,1,2,20048,72686959023,1,2025-11-07,14856,286,366311,1,2025-11-07
19713,9310850367,8,1,2,20048,72686959023,1,2024-06-01,220590,2410,366311,1,2024-06-01
19714,9310850367,29,2,1,20048,74444286337,3,2025-08-05,1395850,19528,466797,1,2025-08-05
19715,9310850367,18,1,6,20048,74444286337,1,2026-07-11,12589,49,466797,2,2026-07-11
19716,9310850367,28,1,1,20048,72686959023,1,2026-08-13,1742271,13289,366311,1,2026-08-13
19717,9310850367,31,1,3,20048,72686959023,1,2026-07-31,3080166,338,366311,1,2026-07-31
19718,9310850367,23,1,10,20048,72686959023,1,2026-07-24,0,0,366311,1,2026-07-24
19719,9310850367,5,2,4,20048,72686959023,1,2025-11-05,1616744,12532,366311,1,2025-11-05
19720,9310850367,1,1,1,20048,72686959023,1,2024-12-07,447732,1808,366311,1,2024-12-07
19721,9310850367,24,2,13,20048,74444286337,1,2026-05-01,198417,460,466797,1,2026-05-01
19722,9310850367,27,1,4,20048,74444286337,1,2024-04-18,3379691,32022,466797,1,2024-04-18
19723,9310850367,9,1,10,20048,72686959023,1,2026-09-04,0,0,366311,1,2026-09-04
19724,9310850367,21,1,10,20048,74444286337,1,2026-04-10,0,0,466797,1,2026-04-10
19725,9310850367,26,2,13,20048,72686959023,1,2025-08-25,1389653,18132,366311,1,2025-08-25
19726,9310850367,5,2,4,20048,74444286337,1,2026-09-01,2635594,24390,466797,1,2026-09-01
19727,9310850367,4,1,1,20048,72686959023,1,2025-11-26,379493,1862,366311,1,2025-11-26
19728,9310850367,1,2,12,20048,74444286337,1,2024-02-22,33594,172,466797,1,2024-02-22
19729,9310850367,22,1,10,20048,74444286337,1,2025-12-27,0,0,466797,1,2025-12-27
19730,9310850367,10,1,3,20048,72686959023,1,2026-01-09,4340692,32501,366311,1,2026-01-09
19731,9310850367,18,1,10,20048,72686959023,1,2024-03-26,0,0,366311,1,2024-03-26
19732,9310850367,20,1,10,20048,74444286337,1,2025-07-06,0,0,466797,1,2025-07-06
19733,9310850367,15,1,2,20048,74444286337,4,2026-02-04,664342,12876,466797,1,2026-02-04
19734,9310850367,28,1,12,20048,72686959023,1,2026-05-30,19324,113,366311,1,2026-05-30
19735,9310850367,15,1,8,20048,74444286337,1,2024-08-09,198391,3926,466797,1,2024-08-09
19736,9310850367,11,1,5,20048,74444286337,1,2024-04-29,52132,177,466797,1,2024-04-29
19737,9310850367,2,1,12,20048,74444286337,1,2024-10-16,81109,194,466797,1,2024-10-16
19738,9310850367,26,2,12,20048,72686959023,1,2025-06-29,78279,756,366311,1,2025-06-29
19739,9310850367,15,1,9,20048,72686959023,1,2024-12-28,531206,1757,366311,1,2024-12-28
19740,9310850367,28,1,12,20048,72686959023,1,2026-02-16,48213,375,366311,1,2026-02-16
19741,9310850367,15,1,7,20048,72686959023,2,2025-12-28,37601,211,366311,1,2025-12-28
19742,9310850367,9,1,2,20048,74444286337,1,2025-08-17,795982,13281,466797,1,2025-08-17
19743,9310850367,19,1,3,20048,72686959023,1,2026-08-21,991410,18246,366311,1,2026-08-21
19744,8676649782,15,1,1,20023,31434892250,1,2025-10-02,1589140,1702,1693659,1,2025-10-02
19745,8676649782,30,2,3,20023,43796342271,1,2024-12-16,4398476,67907,11919603,1,2024-12-16
19746,8676649782,9,2,10,20023,43796342271,1,2024-02-12,0,0,11919603,1,2024-02-12
19747,6565247267,11,1,11,20068,27292501437,1,2026-05-01,0,0,1306193,1,2026-05-01
19748,6565247267,2,1,12,20068,27292501437,1,2024-07-01,17716,339,1306193,1,2024-07-01
19749,6565247267,5,1,3,20068,27292501437,1,2024-08-07,1804295,7529,1306193,1,2024-08-07
19750,6565247267,5,2,3,20068,27292501437,1,2024-01-21,631718,12002,1306193,1,2024-01-21
19751,6565247267,2,2,10,20068,27292501437,1,2025-01-26,0,0,1306193,1,2025-01-26
19752,6565247267,23,1,10,20068,27292501437,1,2026-06-21,0,0,1306193,1,2026-06-21
19753,6565247267,25,2,13,20068,27292501437,1,2025-06-10,1304114,4702,1306193,1,2025-06-10
19754,6565247267,3,1,12,20068,27292501437,1,2026-04-08,4785,1,1306193,1,2026-04-08
19755,6565247267,14,1,7,20068,27292501437,1,2024-12-24,428968,2187,1306193,1,2024-12-24
19756,6565247267,5,2,4,20068,27292501437,1,2024-06-28,1715812,2186,1306193,1,2024-06-28
19757,6565247267,8,1,7,20068,27292501437,1,2024-12-09,23232,185,1306193,2,2024-12-09
19758,6565247267,19,1,5,20068,27292501437,1,2024-01-10,122915,1478,1306193,1,2024-01-10
19759,9152105461,20,1,3,20022,45291632571,1,2026-01-08,3154340,63020,3609794,1,2026-01-08
19760,9152105461,30,1,9,20022,45291632571,4,2026-07-13,923286,3082,3609794,1,2026-07-13
19761,3849601049,19,1,10,20010,46080730191,1,2025-07-15,0,0,436789,3,2025-07-15
19762,3849601049,12,1,3,20010,46080730191,1,2026-01-26,3365156,39160,436789,1,2026-01-26
19763,3849601049,30,1,8,20010,46080730191,1,2024-12-17,104817,2034,436789,1,2024-12-17
19764,3849601049,19,1,5,20010,46080730191,1,2026-02-24,237965,2490,436789,1,2026-02-24
19765,3849601049,31,2,3,20010,46080730191,1,2024-04-22,200850,2466,436789,1,2024-04-22
19766,3849601049,9,1,7,20010,46080730191,3,2024-01-04,154454,838,436789,1,2024-01-04
19767,6361766899,14,2,9,20020,94582296838,1,2026-08-20,729598,11641,507387,1,2026-08-20
19768,6361766899,22,1,11,20020,94582296838,1,2026-09-23,0,0,507387,1,2026-09-23
19769,6361766899,7,1,7,20020,94582296838,1,2025-10-14,199762,1413,507387,1,2025-10-14
19770,6361766899,20,1,5,20020,94582296838,1,2026-04-17,183288,2179,507387,1,2026-04-17
19771,6361766899,20,1,6,20020,94582296838,1,2026-01-11,3421,22,507387,1,2026-01-11
19772,6361766899,18,1,10,20020,94582296838,1,2025-07-04,0,0,507387,1,2025-07-04
19773,6361766899,4,2,1,20020,94582296838,1,2024-12-01,164047,3226,507387,1,2024-12-01
19774,6361766899,13,1,9,20020,94582296838,2,2024-07-10,755899,10784,507387,1,2024-07-10
19775,6361766899,2,2,1,20020,94582296838,4,2024-05-06,1798984,3658,507387,1,2024-05-06
19776,6361766899,29,2,3,20020,94582296838,1,2025-05-28,3980537,57774,507387,1,2025-05-28
19777,6361766899,19,1,10,20020,94582296838,1,2025-10-22,0,0,507387,1,2025-10-22
19778,2612774147,32,2,8,20068,35934085399,1,2026-05-30,29944,148,72624,1,2026-05-30
19779,2612774147,20,1,5,20068,35934085399,1,2026-07-14,107854,251,72624,1,2026-07-14
19780,3947492620,16,1,8,20061,40302169559,1,2026-07-17,195437,2644,548805,1,2026-07-17
19781,3947492620,7,2,7,20061,18831387838,1,2026-01-28,12315,183,1769388,2,2026-01-28
19782,3947492620,10,1,11,20061,18831387838,1,2024-11-09,0,0,1769388,1,2024-11-09
19783,3947492620,21,1,10,20061,40302169559,1,2026-09-20,0,0,548805,1,2026-09-20
19784,3947492620,11,1,3,20061,40302169559,1,2025-07-19,4735258,55403,548805,1,2025-07-19
19785,3947492620,23,1,11,20061,18831387838,1,2026-09-10,0,0,1769388,1,2026-09-10
19786,3947492620,17,1,10,20061,40302169559,1,2024-03-26,0,0,548805,1,2024-03-26
19787,3947492620,5,1,1,20061,18831387838,1,2025-03-31,112496,1259,1769388,1,2025-03-31
19788,5229347365,13,1,6,20006,64574929546,1,2025-06-22,3341,36,5986053,1,2025-06-22
19789,5229347365,29,2,12,20006,64574929546,4,2025-06-02,56427,134,5986053,1,2025-06-02
19790,5229347365,32,2,3,20006,64574929546,4,2024-12-01,1312517,22650,5986053,1,2024-12-01
19791,5229347365,20,1,5,20006,64574929546,1,2026-06-22,233158,4179,5986053,1,2026-06-22
19792,5229347365,31,2,8,20006,64574929546,1,2025-12-10,152457,1910,5986053,3,2025-12-10
19793,5229347365,10,1,3,20006,64574929546,1,2024-07-22,882054,13196,5986053,1,2024-07-22
19794,5229347365,12,1,10,20006,64574929546,1,2026-06-09,0,0,5986053,1,2026-06-09
19795,5229347365,2,2,1,20006,64574929546,1,2024-04-01,634325,11499,5986053,3,2024-04-01
19796,5229347365,7,1,7,20006,64574929546,3,2026-08-19,132425,165,5986053,1,2026-08-19
19797,5229347365,30,1,9,20006,64574929546,1,2025-12-22,594553,10810,5986053,1,2025-12-22
19798,5229347365,9,1,7,20006,64574929546,1,2024-12-29,229418,2141,5986053,1,2024-12-29
19799,5229347365,26,2,12,20006,64574929546,1,2025-01-09,53464,77,5986053,1,2025-01-09
19800,5229347365,22,1,11,20006,64574929546,1,2026-07-18,0,0,5986053,1,2026-07-18
19801,5229347365,20,1,6,20006,64574929546,1,2024-09-23,3247,59,5986053,1,2024-09-23
19802,5229347365,27,2,4,20006,64574929546,1,2024-02-05,673272,12481,5986053,1,2024-02-05
19803,5229347365,14,1,7,20006,64574929546,1,2025-04-20,179113,1318,5986053,1,2025-04-20
19804,5229347365,14,1,9,20006,64574929546,1,2025-12-26,633696,497,5986053,1,2025-12-26
19805,5229347365,16,1,9,20006,64574929546,1,2026-07-15,238505,3801,5986053,1,2026-07-15
19806,5229347365,17,1,10,20006,64574929546,1,2025-09-29,0,0,5986053,1,2025-09-29
19807,5229347365,22,1,10,20006,64574929546,1,2026-07-03,0,0,5986053,3,2026-07-03
19808,5229347365,2,1,1,20006,64574929546,2,2026-06-21,73367,957,5986053,1,2026-06-21
19809,5229347365,20,1,10,20006,64574929546,1,2025-07-04,0,0,5986053,1,2025-07-04
19810,5229347365,3,1,4,20006,64574929546,1,2026-04-04,4206185,55842,5986053,3,2026-04-04
19811,5229347365,29,1,12,20006,64574929546,4,2025-07-29,66914,1001,5986053,1,2025-07-29
19812,5229347365,18,2,5,20006,64574929546,1,2024-07-04,78292,868,5986053,1,2024-07-04
19813,5229347365,5,2,2,20006,64574929546,1,2024-07-26,694210,488,5986053,1,2024-07-26
19814,5229347365,10,1,5,20006,64574929546,1,2026-08-02,168454,2714,5986053,1,2026-08-02
19815,5229347365,14,1,2,20006,64574929546,1,2025-10-21,671584,12063,5986053,1,2025-10-21
19816,5229347365,3,1,3,20006,64574929546,1,2026-01-20,3388065,17820,5986053,1,2026-01-20
19817,5229347365,26,2,4,20006,64574929546,4,2025-06-16,2035373,5100,5986053,1,2025-06-16
19818,5229347365,8,1,10,20006,64574929546,1,2025-06-19,0,0,5986053,1,2025-06-19
19819,5229347365,14,1,1,20006,64574929546,4,2026-08-19,1692263,7876,5986053,1,2026-08-19
19820,5229347365,25,2,12,20006,64574929546,1,2026-06-14,93674,1176,5986053,1,2026-06-14
19821,5229347365,11,1,10,20006,64574929546,1,2026-03-30,0,0,5986053,1,2026-03-30
19822,5229347365,30,1,9,20006,64574929546,1,2025-10-21,921243,14767,5986053,1,2025-10-21
19823,5229347365,32,1,9,20006,64574929546,1,2025-07-16,286473,4925,5986053,1,2025-07-16
19824,5229347365,18,1,6,20006,64574929546,2,2026-07-29,2789,33,5986053,1,2026-07-29
19825,5229347365,14,1,1,20006,64574929546,1,2024-03-01,1046927,9527,5986053,1,2024-03-01
19826,5229347365,10,1,10,20006,64574929546,4,2024-06-24,0,0,5986053,1,2024-06-24
19827,5229347365,21,1,11,20006,64574929546,1,2026-02-17,0,0,5986053,1,2026-02-17
19828,5229347365,12,1,10,20006,64574929546,5,2024-02-28,0,0,5986053,1,2024-02-28
19829,5229347365,19,1,6,20006,64574929546,1,2025-11-04,13544,91,5986053,1,2025-11-04
19830,5229347365,2,2,12,20006,64574929546,1,2024-08-31,45041,553,5986053,1,2024-08-31
19831,5229347365,2,1,3,20006,64574929546,2,2024-12-03,4865476,59983,5986053,1,2024-12-03
19832,5229347365,2,2,10,20006,64574929546,1,2024-08-02,0,0,5986053,1,2024-08-02
19833,5229347365,17,1,3,20006,64574929546,5,2025-12-27,3769177,199,5986053,1,2025-12-27
19834,4651231182,5,2,12,20063,87766341349,1,2025-07-12,85725,144,256467,1,2025-07-12
19835,4651231182,6,1,2,20063,79878860500,1,2025-06-04,731649,14,0,1,2025-06-04
19836,4651231182,17,1,3,20063,79878860500,1,2024-10-20,3959613,70735,0,1,2024-10-20
19837,4651231182,32,2,9,20063,79878860500,1,2024-07-24,91490,248,0,1,2024-07-24
19838,4651231182,13,1,7,20063,79878860500,1,2025-11-26,176817,410,0,1,2025-11-26
19839,5553857474,29,2,3,20035,28824534278,1,2025-11-22,4738138,28986,64564,1,2025-11-22
19840,5553857474,21,1,11,20035,28824534278,1,2026-07-17,0,0,64564,1,2026-07-17
19841,5553857474,7,2,7,20035,28824534278,1,2024-04-13,341541,2989,64564,1,2024-04-13
19842,5553857474,17,1,10,20035,28824534278,1,2025-10-31,0,0,64564,2,2025-10-31
19843,5553857474,26,1,12,20035,28824534278,1,2025-06-02,52621,706,64564,1,2025-06-02
19844,5553857474,26,2,12,20035,73807827908,1,2025-08-10,37506,681,70370,1,2025-08-10
19845,5553857474,11,1,3,20035,73807827908,1,2025-08-25,957367,13279,70370,1,2025-08-25
19846,5553857474,30,1,3,20035,73807827908,1,2025-05-14,1469772,4181,70370,1,2025-05-14
19847,5553857474,19,1,10,20035,28824534278,1,2025-08-20,0,0,64564,1,2025-08-20
19848,5553857474,8,1,2,20035,73807827908,2,2025-03-14,847220,15862,70370,1,2025-03-14
19849,5553857474,3,2,10,20035,73807827908,1,2025-08-14,0,0,70370,1,2025-08-14
19850,4522462637,19,1,10,20078,81359005290,2,2025-10-18,0,0,356317,1,2025-10-18
19851,4522462637,10,1,5,20078,81359005290,2,2024-10-19,127892,1767,356317,1,2024-10-19
19852,4522462637,22,1,11,20078,81359005290,1,2025-02-27,0,0,356317,1,2025-02-27
19853,4522462637,17,1,5,20078,81359005290,1,2024-01-01,188198,1907,356317,1,2024-01-01
19854,4522462637,15,1,9,20078,81359005290,3,2026-05-28,738383,5326,356317,1,2026-05-28
19855,4522462637,18,1,6,20078,81359005290,1,2026-04-30,18614,205,356317,1,2026-04-30
19856,4522462637,12,1,11,20078,81359005290,1,2026-01-08,0,0,356317,1,2026-01-08
19857,4522462637,29,1,12,20078,81359005290,1,2024-09-01,932,4,356317,1,2024-09-01
19858,4522462637,11,1,10,20078,81359005290,1,2026-03-07,0,0,356317,1,2026-03-07
19859,4522462637,27,1,12,20078,81359005290,1,2024-02-13,74468,1043,356317,1,2024-02-13
19860,4522462637,11,1,3,20078,81359005290,2,2026-05-21,2594264,651,356317,1,2026-05-21
19861,4522462637,2,1,12,20078,81359005290,1,2025-01-10,72855,777,356317,1,2025-01-10
19862,4522462637,19,1,5,20078,81359005290,1,2025-01-22,165227,749,356317,1,2025-01-22
19863,4522462637,18,1,10,20078,81359005290,1,2026-04-20,0,0,356317,1,2026-04-20
19864,4522462637,6,2,10,20078,81359005290,1,2025-12-25,0,0,356317,3,2025-12-25
19865,4522462637,5,2,10,20078,81359005290,1,2025-02-05,0,0,356317,1,2025-02-05
19866,4522462637,19,2,6,20078,81359005290,1,2025-05-27,8160,59,356317,1,2025-05-27
19867,4522462637,17,1,5,20078,81359005290,1,2024-01-23,253413,4550,356317,1,2024-01-23
19868,4522462637,5,1,12,20078,81359005290,1,2026-05-12,47810,248,356317,1,2026-05-12
19869,4522462637,15,2,6,20078,81359005290,1,2024-07-01,11461,13,356317,1,2024-07-01
19870,4522462637,19,2,6,20078,81359005290,1,2024-03-05,10787,48,356317,1,2024-03-05
19871,4522462637,20,1,10,20078,81359005290,1,2026-05-06,0,0,356317,1,2026-05-06
19872,4522462637,23,1,11,20078,81359005290,1,2025-04-08,0,0,356317,1,2025-04-08
19873,4522462637,3,2,10,20078,81359005290,5,2024-01-15,0,0,356317,1,2024-01-15
19874,4522462637,21,1,11,20078,81359005290,1,2026-06-12,0,0,356317,1,2026-06-12
19875,6965711556,4,1,1,20037,70925302412,1,2025-08-31,1833048,33471,178060,1,2025-08-31
19876,6965711556,20,1,3,20037,70925302412,1,2026-05-18,475712,1277,178060,1,2026-05-18
19877,6965711556,13,1,8,20037,70925302412,1,2025-04-18,688473,7569,178060,1,2025-04-18
19878,6965711556,22,1,11,20037,70925302412,1,2025-01-06,0,0,178060,1,2025-01-06
19879,6965711556,28,1,1,20037,70925302412,1,2026-08-30,1020327,5577,178060,1,2026-08-30
19880,6965711556,23,1,10,20037,70925302412,1,2025-07-09,0,0,178060,1,2025-07-09
19881,6965711556,2,2,3,20037,70925302412,1,2026-01-02,4520892,14671,178060,1,2026-01-02
19882,6965711556,12,1,10,20037,70925302412,1,2024-09-05,0,0,178060,1,2024-09-05
19883,6965711556,18,1,10,20037,70925302412,1,2025-09-18,0,0,178060,1,2025-09-18
19884,1727689727,24,2,13,20048,48258033348,3,2025-03-16,35363,616,473989,1,2025-03-16
19885,1727689727,20,1,6,20048,48258033348,2,2024-01-20,1881,2,473989,1,2024-01-20
19886,1727689727,26,2,13,20048,48258033348,1,2024-11-30,1498399,25759,473989,1,2024-11-30
19887,1727689727,2,2,4,20048,48258033348,1,2025-11-18,4745946,29214,473989,1,2025-11-18
19888,1727689727,12,1,10,20048,48258033348,1,2025-09-04,0,0,473989,1,2025-09-04
19889,1727689727,25,1,4,20048,48258033348,1,2024-03-11,2793923,40807,473989,1,2024-03-11
19890,6382713825,11,1,5,20066,44677337021,1,2025-03-22,196173,1163,319012,1,2025-03-22
19891,6382713825,21,1,11,20066,44677337021,1,2025-01-13,0,0,319012,1,2025-01-13
19892,6382713825,25,2,4,20066,44677337021,1,2026-05-21,471993,7218,319012,1,2026-05-21
19893,6382713825,21,1,11,20066,44677337021,1,2026-04-23,0,0,319012,1,2026-04-23
19894,6382713825,22,1,10,20066,44677337021,1,2024-07-13,0,0,319012,1,2024-07-13
19895,6382713825,24,1,4,20066,44677337021,1,2026-08-08,1539502,27286,319012,1,2026-08-08
19896,6382713825,4,2,1,20066,44677337021,1,2025-10-06,810669,16204,319012,1,2025-10-06
19897,6382713825,3,2,3,20066,44677337021,2,2025-12-09,2705721,16690,319012,1,2025-12-09
19898,6382713825,2,2,3,20066,44677337021,1,2025-02-26,518063,4974,319012,1,2025-02-26
19899,6382713825,17,1,10,20066,44677337021,2,2025-04-16,0,0,319012,1,2025-04-16
19900,6382713825,25,2,12,20066,44677337021,1,2025-06-10,82222,599,319012,1,2025-06-10
19901,6382713825,13,1,7,20066,44677337021,2,2024-09-05,412394,6613,319012,1,2024-09-05
19902,6382713825,15,1,8,20066,44677337021,1,2026-01-21,31656,182,319012,1,2026-01-21
19903,6382713825,3,1,2,20066,44677337021,1,2025-06-01,100567,1141,319012,1,2025-06-01
19904,1302156097,2,1,2,20018,92644319974,1,2026-01-14,543613,10011,96754,1,2026-01-14
19905,1302156097,9,1,10,20018,92644319974,1,2025-03-11,0,0,96754,1,2025-03-11
19906,1302156097,31,2,9,20018,92644319974,1,2024-12-25,181017,2310,96754,1,2024-12-25
19907,1302156097,1,2,10,20018,92644319974,3,2026-07-25,0,0,96754,1,2026-07-25
19908,1302156097,20,1,10,20018,92644319974,1,2026-07-04,0,0,96754,1,2026-07-04
19909,1302156097,21,1,10,20018,92644319974,1,2025-10-08,0,0,96754,1,2025-10-08
19910,1125458118,22,1,10,20039,76065345358,1,2024-11-21,0,0,5555523,1,2024-11-21
19911,1125458118,24,2,4,20039,76065345358,3,2026-05-16,386268,1636,5555523,1,2026-05-16
19912,1900312337,32,1,8,20018,60354203893,1,2026-08-16,908942,5750,653074,1,2026-08-16
19913,1900312337,16,1,8,20018,60354203893,1,2026-08-04,542239,7982,653074,1,2026-08-04
19914,1900312337,11,1,5,20018,24367189699,1,2026-09-04,270831,5247,247393,1,2026-09-04
19915,1922621767,21,1,10,20008,25241550472,1,2026-04-16,0,0,1490194,1,2026-04-16
19916,1922621767,20,1,5,20008,25241550472,1,2025-07-30,90811,595,1490194,3,2025-07-30
19917,1922621767,17,1,6,20008,25241550472,1,2026-02-07,10861,151,1490194,1,2026-02-07
19918,1922621767,16,1,6,20008,25241550472,1,2024-02-29,2956,8,1490194,1,2024-02-29
19919,3430889903,30,1,9,20064,76253313568,1,2026-01-21,859583,4458,87124,1,2026-01-21
19920,3430889903,14,1,1,20064,76253313568,1,2025-12-07,1935542,752,87124,1,2025-12-07
19921,3430889903,26,2,4,20064,76253313568,1,2025-10-02,3549161,11644,87124,1,2025-10-02
19922,3430889903,11,1,11,20064,76253313568,1,2025-01-20,0,0,87124,1,2025-01-20
19923,9089542244,16,1,7,20005,64233225000,1,2025-12-02,483048,1142,50758,1,2025-12-02
19924,9089542244,5,2,3,20005,94395030273,1,2024-09-03,2592008,3745,717573,1,2024-09-03
19925,9089542244,24,2,13,20005,64233225000,1,2026-05-18,1097998,13216,50758,1,2026-05-18
19926,9089542244,29,1,1,20005,94395030273,1,2024-03-20,1524191,24120,717573,1,2024-03-20
19927,9089542244,2,1,10,20005,94395030273,1,2026-03-05,0,0,717573,1,2026-03-05
19928,9089542244,22,1,10,20005,94395030273,4,2025-07-10,0,0,717573,1,2025-07-10
19929,9089542244,21,1,11,20005,94395030273,1,2025-09-20,0,0,717573,1,2025-09-20
19930,9089542244,28,2,3,20005,64233225000,1,2025-07-08,3130917,39749,50758,1,2025-07-08
19931,9089542244,19,1,3,20005,94395030273,4,2024-09-21,4347768,57387,717573,1,2024-09-21
19932,9089542244,5,1,10,20005,94395030273,1,2025-08-29,0,0,717573,1,2025-08-29
19933,9089542244,14,1,2,20005,94395030273,1,2024-01-27,177059,3376,717573,1,2024-01-27
19934,9089542244,30,2,9,20005,94395030273,2,2026-09-02,544323,551,717573,1,2026-09-02
19935,9089542244,22,1,10,20005,64233225000,1,2024-10-31,0,0,50758,1,2024-10-31
19936,9089542244,3,2,12,20005,64233225000,1,2026-01-27,88150,65,50758,1,2026-01-27
19937,9089542244,17,2,10,20005,94395030273,1,2025-08-23,0,0,717573,1,2025-08-23
19938,9530565049,21,1,11,20010,99729957356,1,2025-09-27,0,0,710266,1,2025-09-27
19939,9530565049,6,1,7,20010,99729957356,1,2026-03-14,49009,371,710266,1,2026-03-14
19940,9530565049,7,2,7,20010,99729957356,1,2024-09-27,352085,4110,710266,1,2024-09-27
19941,9530565049,23,1,10,20010,99729957356,1,2025-09-27,0,0,710266,1,2025-09-27
19942,9530565049,12,1,5,20010,99729957356,1,2026-07-02,193357,1237,710266,1,2026-07-02
19943,9530565049,20,1,10,20010,99729957356,1,2026-09-11,0,0,710266,1,2026-09-11
19944,9530565049,8,1,10,20010,99729957356,1,2025-02-11,0,0,710266,1,2025-02-11
19945,9530565049,3,2,3,20010,99729957356,1,2024-11-06,4011662,37650,710266,1,2024-11-06
19946,9530565049,14,1,7,20010,99729957356,1,2026-06-02,133987,1700,710266,1,2026-06-02
19947,9530565049,30,1,9,20010,99729957356,1,2026-08-22,710124,1185,710266,1,2026-08-22
19948,9530565049,5,2,2,20010,99729957356,1,2026-07-13,302544,2615,710266,1,2026-07-13
19949,9530565049,19,1,5,20010,99729957356,1,2025-04-26,51280,752,710266,1,2025-04-26
19950,9530565049,10,2,5,20010,99729957356,1,2026-02-27,16921,299,710266,1,2026-02-27
19951,9530565049,14,1,7,20010,99729957356,5,2024-12-18,39610,661,710266,1,2024-12-18
19952,9530565049,17,2,5,20010,99729957356,1,2025-11-09,14154,115,710266,1,2025-11-09
19953,9530565049,16,1,6,20010,99729957356,1,2025-12-16,11167,152,710266,1,2025-12-16
19954,9530565049,3,2,1,20010,99729957356,1,2026-03-17,1900605,35500,710266,1,2026-03-17
19955,9530565049,10,1,10,20010,99729957356,1,2026-09-11,0,0,710266,1,2026-09-11
19956,4787990578,10,1,3,20019,55130756436,1,2025-02-14,1542009,6153,57994,1,2025-02-14
19957,4787990578,19,1,5,20019,55130756436,4,2025-07-13,157499,1318,57994,1,2025-07-13
19958,4787990578,17,2,10,20019,55130756436,1,2026-05-13,0,0,57994,1,2026-05-13
19959,4787990578,27,2,4,20019,55130756436,1,2026-07-24,3928337,7918,57994,1,2026-07-24
19960,4787990578,14,1,2,20019,55130756436,1,2025-06-11,352121,5288,57994,1,2025-06-11
19961,2338754266,18,1,10,20027,14186398434,1,2024-12-14,0,0,169009,1,2024-12-14
